Codigo Regiao do Pais;Regiao do Pais;Codigo UF;UF;Codigo Macrorregiao de Saude;Macrorregiao de Saude;Codigo Regiao de Saude;Regiao de Saude;CD_MN_RESI;Municipio;Populacao Estimada IBGE 2022;Regiao de Saude
2;Nordeste;29;Bahia;2910;SUL (NBS - ILHEUS);29012;ITABUNA;290560;Camacan;22.579;ITABUNA
2;Nordeste;29;Bahia;2910;SUL (NBS - ILHEUS);29012;ITABUNA;291210;Ibicarai;21.665;ITABUNA
2;Nordeste;29;Bahia;2910;SUL (NBS - ILHEUS);29012;ITABUNA;291550;Itajuipe;18.781;ITABUNA
2;Nordeste;29;Bahia;2910;SUL (NBS - ILHEUS);29012;ITABUNA;293220;Ubaitaba;17.596;ITABUNA
2;Nordeste;29;Bahia;2910;SUL (NBS - ILHEUS);29012;ITABUNA;290800;Coaraci;17.333;ITABUNA
2;Nordeste;29;Bahia;2910;SUL (NBS - ILHEUS);29012;ITABUNA;293230;Ubata;16.094;ITABUNA
2;Nordeste;29;Bahia;2910;SUL (NBS - ILHEUS);29012;ITABUNA;290470;Buerarema;14.804;ITABUNA
2;Nordeste;29;Bahia;2910;SUL (NBS - ILHEUS);29012;ITABUNA;290240;Aurelino Leal;11.179;ITABUNA
2;Nordeste;29;Bahia;2910;SUL (NBS - ILHEUS);29012;ITABUNA;291100;Floresta Azul;11.059;ITABUNA
2;Nordeste;29;Bahia;2910;SUL (NBS - ILHEUS);29012;ITABUNA;291620;Itape;10.341;ITABUNA
2;Nordeste;29;Bahia;2910;SUL (NBS - ILHEUS);29012;ITABUNA;291660;Itapitanga;10.279;ITABUNA
2;Nordeste;29;Bahia;2910;SUL (NBS - ILHEUS);29012;ITABUNA;292390;Pau Brasil;9.370;ITABUNA
2;Nordeste;29;Bahia;2910;SUL (NBS - ILHEUS);29012;ITABUNA;291540;Itaju do Colonia;6.037;ITABUNA
2;Nordeste;29;Bahia;2910;SUL (NBS - ILHEUS);29012;ITABUNA;291855;Jussari;5.888;ITABUNA
2;Nordeste;29;Bahia;2910;SUL (NBS - ILHEUS);29012;ITABUNA;290330;Barro Preto;5.833;ITABUNA
2;Nordeste;29;Bahia;2910;SUL (NBS - ILHEUS);29012;ITABUNA;291150;Gongogi;5.555;ITABUNA
2;Nordeste;29;Bahia;2910;SUL (NBS - ILHEUS);29012;ITABUNA;292935;Sao Jose da Vitoria;5.315;ITABUNA
2;Nordeste;29;Bahia;2910;SUL (NBS - ILHEUS);29012;ITABUNA;290090;Almadina;5.218;ITABUNA
2;Nordeste;29;Bahia;2910;SUL (NBS - ILHEUS);29012;ITABUNA;292780;Santa Cruz da Vitoria;4.681;ITABUNA
2;Nordeste;29;Bahia;2911;SUDOESTE (NBS - VITORIA CONQUISTA);29013;ITAPETINGA;291640;Itapetinga;65.897;ITAPETINGA
2;Nordeste;29;Bahia;2911;SUDOESTE (NBS - VITORIA CONQUISTA);29013;ITAPETINGA;291580;Itambe;24.394;ITAPETINGA
2;Nordeste;29;Bahia;2911;SUDOESTE (NBS - VITORIA CONQUISTA);29013;ITAPETINGA;291970;Macarani;21.599;ITAPETINGA
2;Nordeste;29;Bahia;2911;SUDOESTE (NBS - VITORIA CONQUISTA);29013;ITAPETINGA;291350;Iguai;21.491;ITAPETINGA
2;Nordeste;29;Bahia;2911;SUDOESTE (NBS - VITORIA CONQUISTA);29013;ITAPETINGA;291680;Itarantim;17.052;ITAPETINGA
2;Nordeste;29;Bahia;2911;SUDOESTE (NBS - VITORIA CONQUISTA);29013;ITAPETINGA;291710;Itororo;16.617;ITAPETINGA
2;Nordeste;29;Bahia;2911;SUDOESTE (NBS - VITORIA CONQUISTA);29013;ITAPETINGA;291230;Ibicui;13.934;ITAPETINGA
2;Nordeste;29;Bahia;2911;SUDOESTE (NBS - VITORIA CONQUISTA);29013;ITAPETINGA;292270;Nova Canaa;13.715;ITAPETINGA
2;Nordeste;29;Bahia;2911;SUDOESTE (NBS - VITORIA CONQUISTA);29013;ITAPETINGA;292540;Potiragua;10.274;ITAPETINGA
2;Nordeste;29;Bahia;2911;SUDOESTE (NBS - VITORIA CONQUISTA);29013;ITAPETINGA;292000;Maiquinique;8.731;ITAPETINGA
2;Nordeste;29;Bahia;2911;SUDOESTE (NBS - VITORIA CONQUISTA);29013;ITAPETINGA;290480;Caatiba;6.205;ITAPETINGA
2;Nordeste;29;Bahia;2911;SUDOESTE (NBS - VITORIA CONQUISTA);29013;ITAPETINGA;291090;Firmino Alves;4.873;ITAPETINGA
2;Nordeste;29;Bahia;2918;CENTRO - NORTE (NRS - JACOBINA);29014;JACOBINA;291750;Jacobina;82.590;JACOBINA
2;Nordeste;29;Bahia;2918;CENTRO - NORTE (NRS - JACOBINA);29014;JACOBINA;292170;Morro do Chapeu;33.594;JACOBINA
2;Nordeste;29;Bahia;2918;CENTRO - NORTE (NRS - JACOBINA);29014;JACOBINA;290687;Capim Grosso;33.235;JACOBINA
2;Nordeste;29;Bahia;2918;CENTRO - NORTE (NRS - JACOBINA);29014;JACOBINA;292120;Miguel Calmon;24.661;JACOBINA
2;Nordeste;29;Bahia;2918;CENTRO - NORTE (NRS - JACOBINA);29014;JACOBINA;292335;Ourolandia;19.243;JACOBINA
2;Nordeste;29;Bahia;2918;CENTRO - NORTE (NRS - JACOBINA);29014;JACOBINA;292010;Mairi;17.674;JACOBINA
2;Nordeste;29;Bahia;2918;CENTRO - NORTE (NRS - JACOBINA);29014;JACOBINA;292480;Piritiba;17.566;JACOBINA
2;Nordeste;29;Bahia;2918;CENTRO - NORTE (NRS - JACOBINA);29014;JACOBINA;293130;Tapiramuta;15.818;JACOBINA
2;Nordeste;29;Bahia;2918;CENTRO - NORTE (NRS - JACOBINA);29014;JACOBINA;292140;Mirangaba;15.734;JACOBINA
2;Nordeste;29;Bahia;2918;CENTRO - NORTE (NRS - JACOBINA);29014;JACOBINA;293305;Varzea da Roca;13.800;JACOBINA
2;Nordeste;29;Bahia;2918;CENTRO - NORTE (NRS - JACOBINA);29014;JACOBINA;293245;Umburanas;13.642;JACOBINA
