Codigo Regiao do Pais;Regiao do Pais;Codigo UF;UF;Codigo Macrorregiao de Saude;Macrorregiao de Saude;Codigo Regiao de Saude;Regiao de Saude;CD_MN_RESI;Municipio;Populacao Estimada IBGE 2022;Regiao de Saude
4;Sul;41;Parana;4108;MACRORREGIAO OESTE;41007;7a RS PATO BRANCO;411760;Palmas;48.247;7a RS PATO BRANCO
4;Sul;41;Parana;4108;MACRORREGIAO OESTE;41007;7a RS PATO BRANCO;410650;Coronel Vivida;23.331;7a RS PATO BRANCO
4;Sul;41;Parana;4108;MACRORREGIAO OESTE;41007;7a RS PATO BRANCO;410540;Chopinzinho;21.085;7a RS PATO BRANCO
4;Sul;41;Parana;4108;MACRORREGIAO OESTE;41007;7a RS PATO BRANCO;411440;Mangueirinha;16.603;7a RS PATO BRANCO
4;Sul;41;Parana;4108;MACRORREGIAO OESTE;41007;7a RS PATO BRANCO;410570;Clevelandia;15.070;7a RS PATO BRANCO
4;Sul;41;Parana;4108;MACRORREGIAO OESTE;41007;7a RS PATO BRANCO;411120;Itapejara d'Oeste;12.344;7a RS PATO BRANCO
4;Sul;41;Parana;4108;MACRORREGIAO OESTE;41007;7a RS PATO BRANCO;412480;Sao Joao;11.886;7a RS PATO BRANCO
4;Sul;41;Parana;4108;MACRORREGIAO OESTE;41007;7a RS PATO BRANCO;412870;Vitorino;9.706;7a RS PATO BRANCO
4;Sul;41;Parana;4108;MACRORREGIAO OESTE;41007;7a RS PATO BRANCO;411530;Mariopolis;6.371;7a RS PATO BRANCO
4;Sul;41;Parana;4108;MACRORREGIAO OESTE;41007;7a RS PATO BRANCO;412627;Saudade do Iguacu;6.108;7a RS PATO BRANCO
4;Sul;41;Parana;4108;MACRORREGIAO OESTE;41007;7a RS PATO BRANCO;410645;Coronel Domingos Soares;5.649;7a RS PATO BRANCO
4;Sul;41;Parana;4108;MACRORREGIAO OESTE;41007;7a RS PATO BRANCO;410965;Honorio Serpa;4.941;7a RS PATO BRANCO
4;Sul;41;Parana;4108;MACRORREGIAO OESTE;41007;7a RS PATO BRANCO;412665;Sulina;3.440;7a RS PATO BRANCO
4;Sul;41;Parana;4108;MACRORREGIAO OESTE;41007;7a RS PATO BRANCO;410322;Bom Sucesso do Sul;3.202;7a RS PATO BRANCO
4;Sul;41;Parana;4108;MACRORREGIAO OESTE;41008;8a RS FRANCISCO BELTRAO;410840;Francisco Beltrao;96.666;8a RS FRANCISCO BELTRAO
4;Sul;41;Parana;4108;MACRORREGIAO OESTE;41008;8a RS FRANCISCO BELTRAO;410720;Dois Vizinhos;44.869;8a RS FRANCISCO BELTRAO
4;Sul;41;Parana;4108;MACRORREGIAO OESTE;41008;8a RS FRANCISCO BELTRAO;412440;Santo Antonio do Sudoeste;23.673;8a RS FRANCISCO BELTRAO
4;Sul;41;Parana;4108;MACRORREGIAO OESTE;41008;8a RS FRANCISCO BELTRAO;410450;Capanema;20.481;8a RS FRANCISCO BELTRAO
4;Sul;41;Parana;4108;MACRORREGIAO OESTE;41008;8a RS FRANCISCO BELTRAO;410100;Ampere;19.620;8a RS FRANCISCO BELTRAO
4;Sul;41;Parana;4108;MACRORREGIAO OESTE;41008;8a RS FRANCISCO BELTRAO;412140;Realeza;19.247;8a RS FRANCISCO BELTRAO
4;Sul;41;Parana;4108;MACRORREGIAO OESTE;41008;8a RS FRANCISCO BELTRAO;411540;Marmeleiro;15.901;8a RS FRANCISCO BELTRAO
4;Sul;41;Parana;4108;MACRORREGIAO OESTE;41008;8a RS FRANCISCO BELTRAO;412300;Salto do Lontra;15.223;8a RS FRANCISCO BELTRAO
4;Sul;41;Parana;4108;MACRORREGIAO OESTE;41008;8a RS FRANCISCO BELTRAO;411980;Planalto;14.374;8a RS FRANCISCO BELTRAO
4;Sul;41;Parana;4108;MACRORREGIAO OESTE;41008;8a RS FRANCISCO BELTRAO;412380;Santa Izabel do Oeste;14.070;8a RS FRANCISCO BELTRAO
4;Sul;41;Parana;4108;MACRORREGIAO OESTE;41008;8a RS FRANCISCO BELTRAO;411725;Nova Prata do Iguacu;12.699;8a RS FRANCISCO BELTRAO
4;Sul;41;Parana;4108;MACRORREGIAO OESTE;41008;8a RS FRANCISCO BELTRAO;410260;Barracao;9.759;8a RS FRANCISCO BELTRAO
4;Sul;41;Parana;4108;MACRORREGIAO OESTE;41008;8a RS FRANCISCO BELTRAO;412520;Sao Jorge d'Oeste;9.378;8a RS FRANCISCO BELTRAO
4;Sul;41;Parana;4108;MACRORREGIAO OESTE;41008;8a RS FRANCISCO BELTRAO;412860;Vere;7.932;8a RS FRANCISCO BELTRAO
4;Sul;41;Parana;4108;MACRORREGIAO OESTE;41008;8a RS FRANCISCO BELTRAO;412160;Renascenca;6.845;8a RS FRANCISCO BELTRAO
4;Sul;41;Parana;4108;MACRORREGIAO OESTE;41008;8a RS FRANCISCO BELTRAO;411900;Perola d'Oeste;6.221;8a RS FRANCISCO BELTRAO
4;Sul;41;Parana;4108;MACRORREGIAO OESTE;41008;8a RS FRANCISCO BELTRAO;410740;Eneas Marques;5.999;8a RS FRANCISCO BELTRAO
4;Sul;41;Parana;4108;MACRORREGIAO OESTE;41008;8a RS FRANCISCO BELTRAO;412035;Pranchita;5.737;8a RS FRANCISCO BELTRAO
4;Sul;41;Parana;4108;MACRORREGIAO OESTE;41008;8a RS FRANCISCO BELTRAO;411695;Nova Esperanca do Sudoeste;5.597;8a RS FRANCISCO BELTRAO
4;Sul;41;Parana;4108;MACRORREGIAO OESTE;41008;8a RS FRANCISCO BELTRAO;410785;Flor da Serra do Sul;4.364;8a RS FRANCISCO BELTRAO
4;Sul;41;Parana;4108;MACRORREGIAO OESTE;41008;8a RS FRANCISCO BELTRAO;410657;Cruzeiro do Iguacu;4.133;8a RS FRANCISCO BELTRAO
4;Sul;41;Parana;4108;MACRORREGIAO OESTE;41008;8a RS FRANCISCO BELTRAO;412280;Salgado Filho;4.075;8a RS FRANCISCO BELTRAO
4;Sul;41;Parana;4108;MACRORREGIAO OESTE;41008;8a RS FRANCISCO BELTRAO;410275;Bela Vista da Caroba;4.031;8a RS FRANCISCO BELTRAO
4;Sul;41;Parana;4108;MACRORREGIAO OESTE;41008;8a RS FRANCISCO BELTRAO;410315;Bom Jesus do Sul;3.980;8a RS FRANCISCO BELTRAO
4;Sul;41;Parana;4108;MACRORREGIAO OESTE;41008;8a RS FRANCISCO BELTRAO;411435;Manfrinopolis;2.770;8a RS FRANCISCO BELTRAO
4;Sul;41;Parana;4108;MACRORREGIAO OESTE;41008;8a RS FRANCISCO BELTRAO;411925;Pinhal de Sao Bento;2.761;8a RS FRANCISCO BELTRAO
4;Sul;41;Parana;4108;MACRORREGIAO OESTE;41008;8a RS FRANCISCO BELTRAO;410302;Boa Esperanca do Iguacu;2.455;8a RS FRANCISCO BELTRAO
4;Sul;41;Parana;4108;MACRORREGIAO OESTE;41009;9a RS FOZ DO IGUACU;410830;Foz do Iguacu;285.415;9a RS FOZ DO IGUACU
4;Sul;41;Parana;4108;MACRORREGIAO OESTE;41009;9a RS FOZ DO IGUACU;411580;Medianeira;54.369;9a RS FOZ DO IGUACU
4;Sul;41;Parana;4108;MACRORREGIAO OESTE;41009;9a RS FOZ DO IGUACU;412570;Sao Miguel do Iguacu;29.122;9a RS FOZ DO IGUACU
4;Sul;41;Parana;4108;MACRORREGIAO OESTE;41009;9a RS FOZ DO IGUACU;412405;Santa Terezinha de Itaipu;24.262;9a RS FOZ DO IGUACU
4;Sul;41;Parana;4108;MACRORREGIAO OESTE;41009;9a RS FOZ DO IGUACU;411560;Matelandia;18.450;9a RS FOZ DO IGUACU
4;Sul;41;Parana;4108;MACRORREGIAO OESTE;41009;9a RS FOZ DO IGUACU;411095;Itaipulandia;11.485;9a RS FOZ DO IGUACU
4;Sul;41;Parana;4108;MACRORREGIAO OESTE;41009;9a RS FOZ DO IGUACU;411605;Missal;11.064;9a RS FOZ DO IGUACU
4;Sul;41;Parana;4108;MACRORREGIAO OESTE;41009;9a RS FOZ DO IGUACU;412635;Serranopolis do Iguacu;5.007;9a RS FOZ DO IGUACU
4;Sul;41;Parana;4108;MACRORREGIAO OESTE;41009;9a RS FOZ DO IGUACU;412125;Ramilandia;4.221;9a RS FOZ DO IGUACU
4;Sul;41;Parana;4108;MACRORREGIAO OESTE;41010;10a RS CASCAVEL;410480;Cascavel;348.051;10a RS CASCAVEL
4;Sul;41;Parana;4108;MACRORREGIAO OESTE;41010;10a RS CASCAVEL;412090;Quedas do Iguacu;30.738;10a RS CASCAVEL
4;Sul;41;Parana;4108;MACRORREGIAO OESTE;41010;10a RS CASCAVEL;410345;Cafelandia;18.997;10a RS CASCAVEL
4;Sul;41;Parana;4108;MACRORREGIAO OESTE;41010;10a RS CASCAVEL;410630;Corbelia;17.470;10a RS CASCAVEL
4;Sul;41;Parana;4108;MACRORREGIAO OESTE;41010;10a RS CASCAVEL;410460;Capitao Leonidas Marques;14.648;10a RS CASCAVEL
4;Sul;41;Parana;4108;MACRORREGIAO OESTE;41010;10a RS CASCAVEL;411670;Nova Aurora;13.765;10a RS CASCAVEL
4;Sul;41;Parana;4108;MACRORREGIAO OESTE;41010;10a RS CASCAVEL;410930;Guaraniacu;13.735;10a RS CASCAVEL
4;Sul;41;Parana;4108;MACRORREGIAO OESTE;41010;10a RS CASCAVEL;412402;Santa Tereza do Oeste;13.174;10a RS CASCAVEL
4;Sul;41;Parana;4108;MACRORREGIAO OESTE;41010;10a RS CASCAVEL;412785;Tres Barras do Parana;11.135;10a RS CASCAVEL
4;Sul;41;Parana;4108;MACRORREGIAO OESTE;41010;10a RS CASCAVEL;410530;Ceu Azul;11.087;10a RS CASCAVEL
4;Sul;41;Parana;4108;MACRORREGIAO OESTE;41010;10a RS CASCAVEL;411275;Jesuitas;10.506;10a RS CASCAVEL
4;Sul;41;Parana;4108;MACRORREGIAO OESTE;41010;10a RS CASCAVEL;410500;Catanduvas;10.446;10a RS CASCAVEL
4;Sul;41;Parana;4108;MACRORREGIAO OESTE;41010;10a RS CASCAVEL;412855;Vera Cruz do Oeste;8.215;10a RS CASCAVEL
4;Sul;41;Parana;4108;MACRORREGIAO OESTE;41010;10a RS CASCAVEL;410305;Boa Vista da Aparecida;7.924;10a RS CASCAVEL
4;Sul;41;Parana;4108;MACRORREGIAO OESTE;41010;10a RS CASCAVEL;410820;Formosa do Oeste;7.635;10a RS CASCAVEL
4;Sul;41;Parana;4108;MACRORREGIAO OESTE;41010;10a RS CASCAVEL;410975;Ibema;6.218;10a RS CASCAVEL
4;Sul;41;Parana;4108;MACRORREGIAO OESTE;41010;10a RS CASCAVEL;411345;Lindoeste;5.175;10a RS CASCAVEL
4;Sul;41;Parana;4108;MACRORREGIAO OESTE;41010;10a RS CASCAVEL;410335;Braganey;4.854;10a RS CASCAVEL
4;Sul;41;Parana;4108;MACRORREGIAO OESTE;41010;10a RS CASCAVEL;410754;Espigao Alto do Iguacu;4.797;10a RS CASCAVEL
4;Sul;41;Parana;4108;MACRORREGIAO OESTE;41010;10a RS CASCAVEL;410405;Campo Bonito;4.027;10a RS CASCAVEL
