Codigo Regiao do Pais;Regiao do Pais;Codigo UF;UF;Codigo Macrorregiao de Saude;Macrorregiao de Saude;Codigo Regiao de Saude;Regiao de Saude;CD_MN_RESI;Municipio;Populacao Estimada IBGE 2022;Regiao de Saude
1;Norte;11;Rondonia;1102;MACRORREGIAO I - PORTO VELHO;11001;VALE DO JAMARI;110002;Ariquemes;96.833;VALE DO JAMARI
1;Norte;11;Rondonia;1102;MACRORREGIAO I - PORTO VELHO;11001;VALE DO JAMARI;110013;Machadinho D'Oeste;30.707;VALE DO JAMARI
1;Norte;11;Rondonia;1102;MACRORREGIAO I - PORTO VELHO;11001;VALE DO JAMARI;110045;Buritis;27.992;VALE DO JAMARI
1;Norte;11;Rondonia;1102;MACRORREGIAO I - PORTO VELHO;11001;VALE DO JAMARI;110040;Alto Paraiso;16.320;VALE DO JAMARI
1;Norte;11;Rondonia;1102;MACRORREGIAO I - PORTO VELHO;11001;VALE DO JAMARI;110094;Cujubim;14.863;VALE DO JAMARI
1;Norte;11;Rondonia;1102;MACRORREGIAO I - PORTO VELHO;11001;VALE DO JAMARI;110140;Monte Negro;11.548;VALE DO JAMARI
1;Norte;11;Rondonia;1102;MACRORREGIAO I - PORTO VELHO;11001;VALE DO JAMARI;110070;Campo Novo de Rondonia;8.844;VALE DO JAMARI
1;Norte;11;Rondonia;1102;MACRORREGIAO I - PORTO VELHO;11001;VALE DO JAMARI;110060;Cacaulandia;4.150;VALE DO JAMARI
1;Norte;11;Rondonia;1102;MACRORREGIAO I - PORTO VELHO;11001;VALE DO JAMARI;110026;Rio Crespo;3.471;VALE DO JAMARI
1;Norte;11;Rondonia;1101;MACRORREGIONAL II (CACOAL);11002;CAFE;110004;Cacoal;86.887;CAFE
1;Norte;11;Rondonia;1101;MACRORREGIONAL II (CACOAL);11002;CAFE;110018;Pimenta Bueno;35.079;CAFE
1;Norte;11;Rondonia;1101;MACRORREGIONAL II (CACOAL);11002;CAFE;110009;Espigao D'Oeste;29.414;CAFE
1;Norte;11;Rondonia;1101;MACRORREGIONAL II (CACOAL);11002;CAFE;110120;Ministro Andreazza;6.466;CAFE
